,Date,Capacity,Turnover,Open,High,Low,Close,Change,Trascation
0,2019-01-02,8532073,636107101,75.85,75.9,73.95,74.05,-1.45,4102
1,2019-01-03,13347147,981181870,73.8,74.0,73.25,73.35,-0.7,5208
2,2019-01-04,21292465,1540084560,72.8,72.8,72.0,72.2,-1.15,8826
3,2019-01-07,14605638,1077319115,73.55,74.05,73.25,73.95,1.75,4891
4,2019-01-08,11006700,811364720,74.15,74.15,73.55,73.65,-0.3,2869
5,2019-01-09,11430523,855269355,73.95,75.15,73.95,75.0,1.35,5277
6,2019-01-10,2823283,210937625,74.8,74.9,74.5,74.8,-0.2,1231
7,2019-01-11,10362915,782200792,75.3,75.75,75.15,75.5,0.7,3660
8,2019-01-14,5298405,397504723,75.45,75.45,74.75,75.0,-0.5,2018
9,2019-01-15,11836450,894286699,75.05,75.8,75.05,75.65,0.65,5250
10,2019-01-16,15342503,1159613447,75.65,75.7,75.35,75.55,-0.1,5360
11,2019-01-17,10020739,756877394,75.6,75.9,75.15,75.55,0.0,3137
12,2019-01-18,8293491,629378860,75.75,76.1,75.4,75.95,0.4,5013
13,2019-01-21,10454756,799923534,76.35,76.7,76.25,76.5,0.55,3895
14,2019-01-22,8838931,653814320,74.4,74.4,73.8,74.05,0.0,4742
15,2019-01-23,6407442,472728408,74.0,74.0,73.65,73.7,-0.35,3167
16,2019-01-24,3500506,258832935,73.95,74.15,73.75,74.05,0.35,1363
17,2019-01-25,7320778,548115919,74.6,75.1,74.55,75.0,0.95,3322
18,2019-01-28,3825143,287814225,75.15,75.45,75.05,75.15,0.15,1795
19,2019-01-29,4419790,328663492,74.5,74.55,74.2,74.5,-0.65,2251
20,2019-01-30,5255229,390864071,74.5,74.65,74.2,74.35,-0.15,1833
21,2019-02-11,6614900,497844612,75.35,75.65,74.85,75.15,0.8,3137
22,2019-02-12,6164150,465816739,75.35,75.75,75.35,75.65,0.5,2980
23,2019-02-13,4157700,314193830,75.95,75.95,75.4,75.5,-0.15,1837
24,2019-02-14,3641542,274887735,75.5,75.75,75.25,75.25,-0.25,1593
25,2019-02-15,3516111,264409753,75.3,75.6,74.9,75.05,-0.2,1796
26,2019-02-18,6596163,499575240,75.5,75.9,75.5,75.65,0.6,3143
27,2019-02-19,2862069,216303714,75.7,75.7,75.5,75.5,-0.15,2168
28,2019-02-20,34307853,2619961938,75.9,76.5,75.9,76.35,0.85,9607
29,2019-02-21,18664815,1433791393,76.4,77.1,76.4,77.1,0.75,4467
30,2019-02-22,9881017,758887009,76.95,76.95,76.5,76.95,-0.15,6936
31,2019-02-25,19365354,1501862131,77.35,77.75,77.3,77.5,0.55,4458
32,2019-02-26,15903051,1234156605,77.65,77.8,77.3,77.7,0.2,5707
33,2019-02-27,12907489,1000792293,77.7,77.7,77.35,77.65,-0.05,3460
34,2019-03-04,8469570,652787218,77.55,77.55,76.7,76.95,-0.7,4887
35,2019-03-05,9400493,720525122,76.6,76.9,76.45,76.75,-0.2,2830
36,2019-03-06,19579792,1505450934,76.85,77.05,76.75,76.95,0.2,3193
37,2019-03-07,18239770,1399918017,76.9,77.05,76.6,76.65,-0.3,1946
38,2019-03-08,9975200,758523703,76.2,76.35,75.8,76.0,-0.65,2853
39,2019-03-11,4642390,352680831,75.85,76.15,75.7,76.15,0.15,2280
40,2019-03-12,13857468,1070170012,76.85,77.45,76.8,77.25,1.1,3796
41,2019-03-13,10148529,781685019,77.05,77.2,76.8,77.1,-0.15,1763
42,2019-03-14,5208756,402155617,77.3,77.4,76.95,77.05,-0.05,1343
43,2019-03-15,11483751,890275774,77.35,77.7,77.15,77.6,0.55,3164
44,2019-03-18,12218708,952368177,77.75,78.1,77.65,78.1,0.5,4228
45,2019-03-19,8604296,672547372,78.1,78.4,77.85,78.4,0.3,2634
46,2019-03-20,11856027,929902949,78.35,78.55,78.2,78.5,0.1,4868
47,2019-03-21,11341213,894798086,78.8,79.15,78.65,79.15,0.65,3766
48,2019-03-22,6930357,550253696,79.5,79.7,79.05,79.35,0.2,2993
49,2019-03-25,7020756,548329150,78.1,78.35,78.0,78.15,-1.2,2790
50,2019-03-26,2700090,212178105,78.5,78.7,78.4,78.65,0.5,1328
51,2019-03-27,2555684,200669301,78.45,78.7,78.2,78.5,-0.15,959
52,2019-03-28,3415432,267952933,78.3,78.6,78.15,78.5,0.0,977
53,2019-03-29,5680484,448318722,78.7,79.15,78.25,79.15,0.65,1629
54,2019-04-01,11053405,886568240,80.0,80.4,79.6,79.85,0.7,3749
55,2019-04-02,5605092,449896022,80.1,80.45,80.1,80.15,0.3,2132
56,2019-04-03,6867174,550702889,80.4,80.45,79.95,80.15,0.0,3017
57,2019-04-08,7990782,646213579,80.8,81.0,80.7,80.9,0.75,3458
58,2019-04-09,15272047,1239718747,80.95,81.4,80.85,81.4,0.5,6181
59,2019-04-10,10863161,883369153,81.1,81.55,81.1,81.5,0.1,3214
60,2019-04-11,8272430,671920398,81.35,81.55,80.9,81.15,-0.35,2220
61,2019-04-12,7498409,608347094,81.15,81.3,81.0,81.1,-0.05,1806
62,2019-04-15,7681554,628500222,81.65,82.0,81.55,81.85,0.75,4160
63,2019-04-16,7767931,637026518,81.85,82.15,81.8,82.1,0.25,3439
64,2019-04-17,23104837,1911820959,82.3,82.9,82.3,82.75,0.65,5342
65,2019-04-18,20690365,1716538233,82.9,83.35,82.45,82.7,-0.05,3185
66,2019-04-19,12515659,1038666179,83.25,83.5,82.7,82.8,0.1,2347
67,2019-04-22,2874312,238232670,83.0,83.1,82.65,82.7,-0.1,1478
68,2019-04-23,6012031,498598254,82.7,83.2,82.55,83.05,0.35,2105
69,2019-04-24,3108556,258856445,83.4,83.55,82.9,83.2,0.15,1665
70,2019-04-25,3529039,293890589,83.1,83.45,83.0,83.4,0.2,1588
71,2019-04-26,3815090,314520959,82.8,82.8,82.2,82.45,-0.95,2520
72,2019-04-29,3161957,261464012,82.6,82.95,82.5,82.8,0.35,1462
73,2019-04-30,3247891,268471136,82.8,82.9,82.4,82.8,0.0,1525
74,2019-05-02,6155563,511743438,82.95,83.45,82.9,83.0,0.2,2206
75,2019-05-03,30324466,2531398997,83.1,83.8,83.1,83.75,0.75,2939
76,2019-05-06,7463612,614195906,82.6,82.6,82.05,82.3,-1.45,3956
77,2019-05-07,14011442,1163500108,82.65,83.3,82.65,83.15,0.85,3021
78,2019-05-08,13573142,1120446358,82.4,82.85,82.25,82.55,-0.6,2189
79,2019-05-09,6923673,565348226,82.15,82.2,81.25,81.55,-1.0,4032
80,2019-05-10,11794135,961017047,81.55,82.15,80.9,81.5,-0.05,4632
81,2019-05-13,18678106,1503424339,81.1,81.1,80.1,80.15,-1.35,9159
82,2019-05-14,20279630,1613491800,79.6,80.05,78.9,79.65,-0.5,9964
83,2019-05-15,17261839,1376616520,79.65,80.0,79.45,79.75,0.1,8236
84,2019-05-16,17099974,1355088953,79.5,79.6,79.0,79.05,-0.7,7751
85,2019-05-17,23573826,1854550805,79.5,79.55,78.25,78.25,-0.8,11522
86,2019-05-20,14304763,1121570149,78.5,78.8,78.15,78.2,-0.05,6896
87,2019-05-21,19814843,1548066469,78.0,78.45,77.7,78.4,0.2,6058
88,2019-05-22,10557991,827306010,78.2,78.65,78.1,78.4,0.0,4582
89,2019-05-23,25682577,1979998024,77.85,77.85,76.85,76.95,-1.45,13162
90,2019-05-24,6029424,465499944,77.05,77.5,77.0,77.35,0.4,3250
91,2019-05-27,11541072,890073086,77.5,77.5,76.85,77.15,-0.2,5535
92,2019-05-28,9812310,755742961,77.25,77.25,76.85,77.1,-0.05,4361
93,2019-05-29,9659519,740038363,76.5,76.8,76.3,76.75,-0.35,4380
94,2019-05-30,7658659,591824718,76.75,77.5,76.75,77.4,0.65,3474
95,2019-05-31,7566310,590619995,77.35,78.45,77.3,78.45,1.05,3611
96,2019-06-03,6017694,470593299,78.2,78.65,77.65,78.55,0.1,2880
97,2019-06-04,7228829,565425109,78.45,78.6,78.0,78.05,-0.5,2675
98,2019-06-05,7051894,554017619,78.85,78.95,78.25,78.3,0.25,3047
99,2019-06-06,7456203,579216003,77.7,77.85,77.45,77.7,-0.6,3663
100,2019-06-10,7666763,604180835,78.65,79.05,78.35,79.05,1.35,3677
101,2019-06-11,10623986,844354556,79.2,79.8,79.05,79.4,0.35,5118
102,2019-06-12,9258296,736850634,79.4,79.8,79.25,79.7,0.3,4028
103,2019-06-13,5914941,468466446,79.4,79.55,78.95,79.05,-0.65,2874
